hub_id,name,lat,lon
1,Hub_01_Ben_Thanh_Q1,10.7721,106.6983
2,Hub_02_Nha_Hat_Q1,10.7762,106.7031
3,Hub_03_Ba_Son_Q1,10.7836,106.7094
4,Hub_04_Tan_Dinh_Q1,10.7892,106.6908
5,Hub_05_Nguyen_Hue_Q1,10.7741,106.7038
6,Hub_06_Dien_Bien_Phu_Q3,10.7831,106.6854
7,Hub_07_Ky_Dong_Q3,10.7811,106.6782
8,Hub_08_Ho_Con_Rua_Q3,10.7827,106.6961
9,Hub_09_Hoang_Dieu_Q4,10.7601,106.7015
10,Hub_10_Ben_Van_Don_Q4,10.7632,106.6942
11,Hub_11_Phu_My_Hung_Q7,10.7294,106.7118
12,Hub_12_Nguyen_Van_Linh_Q7,10.7335,106.7231
13,Hub_13_Huynh_Tan_Phat_Q7,10.7451,106.7312
14,Hub_14_An_Dong_Q5,10.7554,106.6712
15,Hub_15_Hung_Vuong_Q5,10.7588,106.6668
16,Hub_16_Cho_Lon_Q6,10.7512,106.6508
17,Hub_17_Pham_The_Hien_Q8,10.7412,106.6781
18,Hub_18_Ba_Thang_Hai_Q10,10.7702,106.6685
19,Hub_19_Ly_Thai_To_Q10,10.7672,106.6751
20,Hub_20_To_Hien_Thanh_Q10,10.7791,106.6632
21,Hub_21_Dam_Sen_Q11,10.7681,106.6451
22,Hub_22_Van_Thanh_Binh_Thanh,10.7974,106.7165
23,Hub_23_Tan_Cang_Binh_Thanh,10.8002,106.7248
24,Hub_24_Dinh_Bo_Linh_Binh_Thanh,10.8091,106.7132
25,Hub_25_Phan_Xinh_Phu_Nhuan,10.7961,106.6892
26,Hub_26_Cong_Hoa_Tan_Binh,10.8012,106.6521
27,Hub_27_Truong_Chinh_Tan_Binh,10.8055,106.6432
28,Hub_28_Quang_Trung_Go_Vap,10.8351,106.6651
29,Hub_29_Thao_Dien_Thu_Duc,10.8052,106.7368
30,Hub_30_KCNC_Thu_Duc,10.859,106.7881
