order_id,lat,lon,weight_kg,weight,status,assigned_hub_id
1,10.7729278,106.6933142,1.93,5.0,pending,1
2,10.7764955,106.6999365,6.53,5.0,pending,1
3,10.7819586,106.7014311,6.64,5.0,pending,1
4,10.7710165,106.6923384,10.82,5.0,pending,1
5,10.7779445,106.6984755,1.73,5.0,pending,1
6,10.7746448,106.6970786,3.18,5.0,pending,1
7,10.7654006,106.7043596,7.71,5.0,pending,1
8,10.7773183,106.701065,7.18,5.0,pending,1
9,10.7781873,106.6940201,9.9,5.0,pending,1
10,10.7844506,106.6984705,7.07,5.0,pending,1
11,10.7767269,106.7035816,9.27,5.0,pending,1
12,10.763,106.7080418,9.72,5.0,pending,1
13,10.7752699,106.6918436,9.51,5.0,pending,1
14,10.7732655,106.712,7.54,5.0,pending,1
15,10.7738535,106.693165,3.38,5.0,pending,1
16,10.7742085,106.7018498,7.87,5.0,pending,1
17,10.7720222,106.6971059,1.83,5.0,pending,1
18,10.7806692,106.7040018,10.3,5.0,pending,1
19,10.7749718,106.6996686,5.9,5.0,pending,1
20,10.7757025,106.6979197,10.28,5.0,pending,1
21,10.7749514,106.7006553,8.72,5.0,pending,1
22,10.7820885,106.6944009,8.65,5.0,pending,1
23,10.7795122,106.7080294,3.02,5.0,pending,1
24,10.7708869,106.7008927,3.52,5.0,pending,1
25,10.7762087,106.6992214,12.26,5.0,pending,1
26,10.7727043,106.6952013,11.65,5.0,pending,1
27,10.7643822,106.7027559,10.16,5.0,pending,1
28,10.763,106.7024466,12.5,5.0,pending,1
29,10.7793915,106.6950419,6.66,5.0,pending,1
30,10.7777016,106.7034323,1.42,5.0,pending,1
31,10.7784378,106.6978663,4.58,5.0,pending,1
32,10.7766815,106.7009719,7.19,5.0,pending,1
33,10.7711235,106.6974725,4.01,5.0,pending,1
34,10.7781166,106.697407,5.99,5.0,pending,1
35,10.7838026,106.6853789,11.02,5.0,pending,1
36,10.781063,106.6854584,8.95,5.0,pending,1
37,10.7833647,106.6852894,7.43,5.0,pending,1
38,10.782733,106.6877687,0.8,5.0,pending,1
39,10.7813444,106.6858611,9.03,5.0,pending,1
40,10.7812448,106.6866627,4.86,5.0,pending,1
41,10.7815528,106.6878911,5.57,5.0,pending,1
42,10.7864705,106.6794549,5.29,5.0,pending,1
43,10.7876261,106.689771,7.53,5.0,pending,1
44,10.7789152,106.6946137,6.48,5.0,pending,1
45,10.7829638,106.6871256,1.9,5.0,pending,1
46,10.7888407,106.6825106,6.58,5.0,pending,1
47,10.7775907,106.6837113,9.5,5.0,pending,1
48,10.7827188,106.6865941,7.7,5.0,pending,1
49,10.7848385,106.6918171,6.39,5.0,pending,1
50,10.7789129,106.6801642,11.5,5.0,pending,1
51,10.7832805,106.6849114,3.6,5.0,pending,1
52,10.7817233,106.6795505,5.54,5.0,pending,1
53,10.7847002,106.6876296,11.61,5.0,pending,1
