road_type,weather,is_rush_hour,actual_speed_kmh
primary,clear,1,28.17
residential,clear,0,28.21
secondary,clear,0,37.5  
secondary,light_rain,0,35.46
primary,clear,0,42.69
primary,heavy_rain,1,21.27
primary,clear,1,27.42
residential,light_rain,0,26.16
secondary,moderate_rain,1,24.36
secondary,moderate_rain,0,33.86
primary,heavy_rain,0,30.59
residential,light_rain,0,23.87
residential,heavy_rain,0,14.81
primary,clear,0,44.67
primary,clear,0,43.07
primary,clear,1,30.02
primary,clear,1,31.85
secondary,clear,1,22.51
secondary,clear,0,34.78
primary,clear,0,45.55
secondary,clear,0,36.0
primary,clear,0,42.15
primary,heavy_rain,0,27.45
primary,clear,0,42.41
secondary,light_rain,0,33.25
secondary,clear,0,35.36
primary,heavy_rain,0,29.0
secondary,heavy_rain,0,23.82
secondary,light_rain,0,33.1
primary,light_rain,0,42.3
secondary,clear,1,20.51
primary,flooded,0,21.82
primary,heavy_rain,1,21.23
residential,heavy_rain,0,14.58
residential,light_rain,0,25.27
residential,clear,1,15.93
primary,heavy_rain,0,30.08
primary,clear,0,43.44
secondary,clear,1,24.2
secondary,clear,0,35.1
primary,heavy_rain,0,30.87
secondary,clear,1,24.11
primary,clear,1,28.06
residential,clear,0,25.15
primary,moderate_rain,0,41.51
secondary,light_rain,1,23.4
primary,clear,0,42.57
secondary,clear,0,33.98
secondary,moderate_rain,0,34.38
primary,flooded,1,14.64
residential,moderate_rain,0,25.94
secondary,clear,1,22.97
residential,heavy_rain,0,13.74
residential,clear,0,24.45
secondary,clear,1,21.15
residential,clear,1,17.47
primary,clear,0,40.69
primary,moderate_rain,0,40.59
primary,clear,1,28.57
primary,clear,0,45.52
primary,clear,0,41.59
primary,clear,0,43.22
residential,clear,1,17.72
primary,clear,1,31.34
primary,clear,1,30.28
secondary,light_rain,0,36.0
primary,light_rain,0,43.71
residential,moderate_rain,0,22.53
primary,clear,0,43.74
residential,heavy_rain,0,17.99
secondary,heavy_rain,0,21.96
primary,moderate_rain,0,41.2
primary,light_rain,0,41.2
residential,clear,0,26.16
secondary,flooded,1,11.69
secondary,clear,0,34.52
secondary,clear,0,33.08
primary,clear,0,43.1
primary,clear,1,28.27
primary,flooded,0,21.97
residential,clear,0,23.29
secondary,clear,0,35.27
primary,light_rain,0,41.75
primary,clear,1,27.24
primary,clear,0,41.21
primary,light_rain,0,40.64
secondary,light_rain,0,34.05
secondary,clear,0,35.18
residential,moderate_rain,0,24.75
secondary,clear,0,35.46
primary,clear,1,27.98
secondary,clear,1,25.18
secondary,clear,1,22.93
secondary,moderate_rain,0,34.76
secondary,moderate_rain,0,33.84
secondary,clear,0,35.56
secondary,clear,0,34.68
secondary,light_rain,0,34.95
primary,clear,1,29.11
primary,clear,0,44.42
primary,flooded,1,13.33
secondary,light_rain,0,31.7
primary,flooded,0,20.14
secondary,clear,0,36.6
residential,light_rain,0,24.31
primary,clear,0,43.34
secondary,clear,1,22.01
secondary,clear,1,23.69
primary,clear,0,41.67
primary,clear,0,41.89
primary,clear,1,28.51
primary,clear,1,29.78
residential,light_rain,0,25.37
residential,clear,1,17.72
secondary,clear,0,32.62
residential,clear,0,24.99
residential,clear,0,24.7
primary,light_rain,0,40.11
residential,clear,0,25.02
secondary,moderate_rain,0,33.71
residential,clear,0,25.77
residential,clear,1,16.97
primary,heavy_rain,1,18.64
primary,light_rain,0,43.8
primary,clear,0,39.87
secondary,moderate_rain,0,33.99
residential,clear,0,22.36
residential,moderate_rain,0,22.98
primary,light_rain,0,43.2
secondary,light_rain,0,32.45
secondary,flooded,0,15.36
primary,clear,0,46.77
primary,light_rain,1,26.55
primary,clear,0,45.68
residential,clear,0,24.74
primary,clear,0,42.41
secondary,clear,0,35.85
secondary,light_rain,0,36.36
primary,clear,1,27.4
residential,clear,0,24.23
residential,clear,1,18.12
primary,clear,0,43.63
secondary,heavy_rain,0,25.05
primary,clear,0,43.97
primary,light_rain,0,45.12
primary,moderate_rain,0,42.34
secondary,moderate_rain,1,23.3
secondary,clear,0,35.48
primary,heavy_rain,0,28.67
primary,clear,1,30.39
residential,heavy_rain,0,17.07
primary,clear,0,44.38
primary,clear,0,44.62
secondary,clear,0,35.64
residential,moderate_rain,0,25.1
primary,clear,0,41.68
secondary,clear,0,34.17
secondary,clear,0,36.27
primary,heavy_rain,0,31.01
secondary,moderate_rain,0,31.17
primary,clear,0,42.35
secondary,light_rain,1,23.19
secondary,clear,0,33.68
secondary,clear,1,22.36
primary,heavy_rain,0,29.59
residential,clear,0,27.37
primary,clear,0,40.15
primary,clear,1,28.86
primary,clear,0,43.89
secondary,clear,1,24.76
secondary,clear,1,24.07
primary,clear,0,45.84
secondary,clear,0,35.04
primary,clear,0,45.17
secondary,clear,0,34.03
primary,clear,0,43.29
secondary,moderate_rain,1,21.15
primary,clear,0,44.55
residential,light_rain,0,24.36
primary,light_rain,0,42.95
primary,light_rain,1,28.11
primary,clear,0,44.08
residential,clear,1,17.45
residential,clear,1,15.36
primary,light_rain,0,41.0
secondary,clear,0,34.96
residential,moderate_rain,0,25.33
secondary,heavy_rain,0,26.19
secondary,clear,1,24.04
primary,clear,0,44.71
primary,light_rain,0,39.99
residential,clear,0,28.02
residential,clear,0,25.91
secondary,heavy_rain,0,23.32
primary,clear,0,42.95
primary,heavy_rain,1,17.8
secondary,light_rain,0,33.13
residential,moderate_rain,0,27.21
residential,clear,1,15.37
secondary,clear,1,22.08
secondary,clear,0,33.95
primary,clear,0,41.4
primary,clear,0,43.22
residential,clear,0,26.63
secondary,clear,1,22.67
primary,clear,0,41.14
primary,moderate_rain,1,28.79
secondary,clear,0,34.92
primary,clear,0,44.7
primary,light_rain,0,41.73
secondary,flooded,0,17.11
secondary,clear,0,34.78
secondary,clear,0,35.13
primary,clear,0,42.61
secondary,heavy_rain,1,14.94
primary,moderate_rain,0,39.29
primary,light_rain,1,27.74
secondary,clear,0,36.07
secondary,clear,1,24.87
residential,clear,1,16.14
secondary,light_rain,0,36.31
secondary,light_rain,1,23.12
primary,flooded,0,19.59
primary,clear,1,26.64
primary,clear,0,45.03
primary,clear,0,42.64
residential,light_rain,0,22.72
primary,moderate_rain,0,38.68
residential,clear,0,24.41
secondary,clear,1,24.2
secondary,clear,1,22.54
secondary,clear,0,33.42
secondary,heavy_rain,1,14.95
secondary,clear,1,25.45
primary,moderate_rain,0,39.98
secondary,clear,0,34.04
primary,moderate_rain,0,43.88
primary,clear,1,29.86
secondary,moderate_rain,1,23.24
primary,clear,0,42.23
residential,clear,0,25.05
residential,clear,1,16.04
residential,clear,1,15.56
primary,clear,1,27.5
primary,clear,0,44.38
residential,flooded,0,12.41
secondary,clear,0,35.47
residential,moderate_rain,0,24.57
residential,flooded,1,9.09
residential,clear,0,24.62
primary,light_rain,1,27.86
primary,clear,0,41.98
residential,clear,1,14.73
primary,clear,0,41.52
primary,heavy_rain,0,28.33
secondary,clear,0,32.6
residential,clear,0,22.93
secondary,clear,1,25.15
secondary,heavy_rain,0,23.73
primary,clear,0,42.52
secondary,light_rain,1,26.57
residential,light_rain,1,14.07
primary,light_rain,0,43.87
secondary,heavy_rain,1,15.6
residential,moderate_rain,0,25.52
secondary,clear,0,35.16
secondary,clear,0,32.19
secondary,clear,0,35.14
primary,clear,0,43.7
primary,clear,0,39.91
residential,clear,0,27.92
residential,clear,1,17.32
residential,flooded,0,13.51
residential,clear,1,15.1
secondary,heavy_rain,1,16.81
secondary,clear,0,36.63
secondary,light_rain,0,34.74
secondary,moderate_rain,0,34.07
secondary,clear,1,22.25
secondary,clear,0,34.68
residential,clear,0,24.23
primary,clear,1,29.97
primary,heavy_rain,0,27.6
primary,moderate_rain,0,42.92
secondary,clear,0,33.74
primary,clear,1,28.72
secondary,clear,1,24.51
secondary,clear,0,33.94
primary,light_rain,0,43.39
secondary,clear,1,24.42
primary,clear,1,28.71
primary,clear,1,30.86
residential,clear,0,25.12
primary,light_rain,1,30.24
primary,clear,0,45.89
secondary,flooded,0,17.14
secondary,heavy_rain,1,16.74
primary,clear,0,42.24
secondary,clear,1,22.04
primary,moderate_rain,0,41.77
primary,heavy_rain,1,17.42
secondary,moderate_rain,0,32.68
secondary,clear,0,35.89
secondary,flooded,0,16.73
secondary,clear,0,36.07
residential,light_rain,1,16.99
secondary,heavy_rain,0,26.17
primary,clear,0,43.99
secondary,heavy_rain,0,25.07
primary,clear,1,29.72
secondary,flooded,0,17.97
primary,clear,0,44.95
primary,flooded,0,22.6
residential,clear,1,17.17
residential,light_rain,0,24.85
secondary,clear,0,35.81
secondary,clear,1,22.58
primary,clear,0,42.13
primary,light_rain,0,44.55
primary,clear,1,31.91
secondary,clear,0,33.61
secondary,clear,0,34.0
secondary,flooded,0,19.21
primary,clear,1,29.92
residential,clear,0,26.01
secondary,clear,0,36.34
secondary,clear,0,34.64
secondary,clear,1,24.08
secondary,clear,0,35.38
primary,heavy_rain,0,27.59
primary,light_rain,0,42.88
secondary,clear,0,36.86
primary,clear,1,28.62
primary,light_rain,0,42.64
primary,clear,1,29.43
primary,moderate_rain,0,41.64
residential,clear,1,17.87
secondary,clear,0,33.98
secondary,clear,0,37.0
primary,heavy_rain,1,20.4
secondary,clear,1,22.18
secondary,clear,0,37.55
primary,clear,0,43.45
secondary,light_rain,0,33.28
primary,heavy_rain,1,21.12
secondary,clear,0,35.74
secondary,clear,0,32.34
primary,heavy_rain,0,28.09
primary,clear,1,29.54
secondary,clear,0,31.76
secondary,clear,0,35.13
residential,light_rain,0,24.78
secondary,clear,0,33.22
primary,moderate_rain,0,42.47
primary,clear,1,29.13
secondary,clear,1,21.8
primary,moderate_rain,0,43.45
secondary,clear,1,24.85
residential,clear,0,24.57
secondary,light_rain,0,34.06
primary,heavy_rain,1,20.55
secondary,heavy_rain,0,23.1
secondary,flooded,0,14.6
secondary,heavy_rain,1,16.5
residential,clear,0,23.78
primary,clear,1,28.53
residential,moderate_rain,1,18.6
residential,clear,0,24.8
primary,light_rain,0,42.41
primary,light_rain,0,43.17
primary,clear,0,43.96
primary,heavy_rain,0,27.5
primary,clear,1,29.03
secondary,clear,0,35.05
primary,flooded,0,22.01
primary,clear,0,43.63
residential,clear,0,28.88
primary,clear,1,27.35
residential,moderate_rain,0,25.82
primary,moderate_rain,1,30.13
primary,moderate_rain,0,42.81
secondary,light_rain,0,33.38
secondary,clear,0,37.5
residential,heavy_rain,0,13.42
secondary,heavy_rain,0,22.37
residential,clear,0,26.76
primary,clear,1,28.56
primary,flooded,0,23.99
secondary,heavy_rain,1,13.5
residential,heavy_rain,0,15.04
residential,heavy_rain,0,15.92
secondary,clear,0,35.63
primary,light_rain,0,42.08
secondary,clear,1,22.85
primary,clear,0,45.33
residential,light_rain,0,26.81
residential,clear,0,24.38
secondary,light_rain,0,31.79
secondary,clear,1,20.35
secondary,clear,0,35.36
primary,clear,1,30.1
residential,clear,0,25.09
secondary,clear,1,23.48
residential,clear,1,15.64
primary,flooded,0,22.58
residential,clear,0,27.52
primary,clear,1,25.79
primary,clear,0,43.08
residential,light_rain,1,15.09
primary,clear,0,40.96
primary,moderate_rain,0,40.37
residential,moderate_rain,1,16.98
residential,clear,0,25.61
secondary,clear,0,37.19
secondary,heavy_rain,0,23.41
secondary,moderate_rain,0,31.45
primary,light_rain,1,28.23
primary,clear,1,27.04
secondary,clear,1,21.78
secondary,clear,0,35.87
secondary,clear,0,35.29
secondary,clear,1,24.47
primary,light_rain,0,41.87
secondary,clear,0,36.19
primary,moderate_rain,1,27.73
secondary,moderate_rain,0,35.76
secondary,clear,0,35.52
residential,moderate_rain,0,24.03
primary,clear,0,43.52
primary,moderate_rain,0,42.04
primary,clear,1,31.51
secondary,clear,0,35.37
secondary,light_rain,0,34.36
primary,clear,1,28.76
primary,heavy_rain,0,30.14
secondary,clear,0,36.06
primary,clear,0,42.79
residential,clear,1,15.12
secondary,clear,0,33.65
primary,clear,0,42.92
primary,light_rain,0,44.43
residential,moderate_rain,0,23.97
primary,heavy_rain,0,27.99
primary,flooded,0,18.96
residential,clear,0,27.27
residential,light_rain,0,25.4
residential,clear,0,26.19
secondary,light_rain,0,35.8
primary,clear,0,42.95
primary,flooded,1,14.69
secondary,light_rain,1,25.39
secondary,flooded,1,12.06
secondary,moderate_rain,0,34.96
residential,heavy_rain,0,18.02
primary,moderate_rain,0,43.03
secondary,clear,0,34.81
primary,clear,0,43.15
secondary,clear,0,36.17
primary,clear,0,44.36
primary,clear,0,44.95
primary,clear,0,44.03
secondary,clear,0,35.89
secondary,flooded,0,16.83
secondary,heavy_rain,0,22.53
residential,clear,1,18.02
primary,clear,0,42.34
primary,clear,0,43.17
residential,clear,1,18.92
primary,moderate_rain,0,43.9
residential,clear,0,25.45
primary,clear,0,42.76
residential,heavy_rain,0,16.53
primary,moderate_rain,0,43.37
residential,clear,0,24.95
secondary,light_rain,0,33.52
residential,clear,1,18.67
primary,clear,0,43.47
secondary,clear,0,34.13
residential,clear,0,25.72
secondary,clear,0,36.46
secondary,clear,1,22.08
secondary,light_rain,0,34.06
secondary,moderate_rain,1,22.6
secondary,clear,0,35.68
secondary,clear,1,24.54
residential,moderate_rain,0,23.52
primary,clear,0,40.96
primary,heavy_rain,1,21.01
residential,light_rain,1,14.86
residential,clear,0,25.41
secondary,clear,1,23.39
secondary,clear,0,35.24
primary,clear,0,45.68
primary,clear,0,47.76
secondary,light_rain,1,20.71
primary,clear,1,30.59
secondary,clear,0,34.77
primary,clear,0,44.77
residential,clear,0,26.44
residential,clear,0,27.11
secondary,clear,0,35.43
secondary,clear,0,33.67
primary,light_rain,0,43.8
residential,clear,0,25.18
secondary,moderate_rain,0,33.73
primary,clear,1,28.4
residential,clear,0,26.51
residential,clear,0,27.41
residential,light_rain,0,22.75
secondary,clear,0,35.93
secondary,clear,0,34.44
secondary,clear,0,32.8
residential,clear,1,17.07
residential,clear,0,23.75
primary,light_rain,0,40.04
primary,clear,0,42.03
primary,light_rain,0,40.87
residential,clear,1,15.88
residential,light_rain,1,14.55
primary,light_rain,0,41.82
secondary,clear,0,33.93
primary,light_rain,1,29.15
residential,heavy_rain,0,17.6
residential,clear,1,17.24
residential,clear,1,16.5
secondary,moderate_rain,0,33.69
secondary,clear,1,22.33
primary,clear,1,27.9
primary,heavy_rain,1,20.52
residential,clear,0,22.36
residential,light_rain,0,24.42
residential,moderate_rain,0,23.86
residential,flooded,0,13.4
secondary,clear,0,32.86
secondary,clear,0,35.02
residential,clear,0,25.51
residential,clear,0,22.14
primary,clear,0,41.59
secondary,clear,0,34.86
primary,clear,1,29.89
residential,clear,0,25.27
secondary,light_rain,0,35.2
primary,light_rain,1,26.96
secondary,moderate_rain,0,31.7
secondary,heavy_rain,0,23.52
primary,clear,1,27.27
primary,flooded,1,13.26
secondary,heavy_rain,0,24.8
secondary,clear,1,23.87
secondary,clear,1,22.74
secondary,clear,0,33.95
residential,clear,0,25.93
secondary,clear,0,35.32
secondary,clear,0,33.18
residential,light_rain,0,21.62
secondary,clear,1,26.41
primary,clear,0,41.37
primary,heavy_rain,0,29.67
secondary,clear,0,37.27
secondary,flooded,0,17.72
secondary,clear,0,34.1
primary,flooded,0,19.46
primary,clear,0,41.04
primary,clear,1,29.68
primary,clear,0,45.38
secondary,light_rain,0,33.77
primary,heavy_rain,0,28.05
secondary,clear,0,36.05
residential,heavy_rain,0,15.68
primary,clear,0,43.61
secondary,light_rain,1,23.22
secondary,moderate_rain,0,33.47
primary,clear,0,43.18
secondary,clear,0,37.64
residential,heavy_rain,1,12.17
residential,heavy_rain,0,18.35
primary,flooded,1,13.18
residential,heavy_rain,0,18.36
secondary,clear,0,35.96
primary,moderate_rain,1,26.1
secondary,clear,1,24.4
residential,flooded,0,11.73
secondary,clear,0,32.68
primary,clear,0,43.39
secondary,clear,0,35.81
primary,clear,1,29.34
primary,clear,0,43.04
primary,heavy_rain,0,28.38
primary,moderate_rain,1,32.05
primary,clear,0,41.43
primary,moderate_rain,0,43.38
secondary,light_rain,1,23.18
primary,clear,0,41.92
primary,clear,0,43.13
residential,heavy_rain,0,14.62
secondary,light_rain,0,33.47
secondary,clear,0,34.93
primary,light_rain,0,40.08
primary,clear,1,29.88
primary,clear,1,27.67
primary,clear,1,26.94
primary,clear,0,41.58
primary,light_rain,1,31.85
primary,heavy_rain,0,25.91
primary,clear,0,43.85
secondary,clear,1,22.46
primary,light_rain,0,41.88
primary,heavy_rain,0,29.79
secondary,light_rain,1,23.99
secondary,heavy_rain,0,22.38
primary,clear,0,41.16
secondary,moderate_rain,0,35.02
secondary,clear,1,24.42
primary,clear,0,42.77
residential,clear,0,25.66
residential,clear,0,24.33
primary,heavy_rain,0,27.64
primary,heavy_rain,1,19.47
residential,clear,0,25.78
secondary,clear,0,35.46
primary,clear,0,43.96
primary,clear,1,27.98
primary,light_rain,0,44.78
secondary,heavy_rain,0,22.88
secondary,flooded,0,17.32
primary,light_rain,0,40.43
secondary,moderate_rain,1,22.68
secondary,clear,1,24.39
primary,clear,1,30.26
primary,clear,1,31.46
secondary,clear,1,24.37
residential,light_rain,0,24.96
secondary,clear,1,22.92
secondary,clear,0,34.01
primary,clear,0,44.66
secondary,flooded,0,18.93
secondary,clear,1,21.97
primary,moderate_rain,0,43.15
primary,moderate_rain,1,29.33
primary,clear,0,41.53
primary,clear,0,44.01
primary,heavy_rain,0,27.3
primary,clear,0,39.56
primary,heavy_rain,0,28.64
primary,clear,0,43.59
residential,clear,1,16.68
secondary,heavy_rain,0,27.7
secondary,moderate_rain,0,34.65
secondary,flooded,0,17.72
secondary,light_rain,0,35.0
primary,heavy_rain,0,28.22
secondary,moderate_rain,0,35.48
secondary,moderate_rain,0,34.62
secondary,clear,0,35.47
secondary,clear,1,22.65
primary,heavy_rain,1,17.12
primary,clear,0,42.45
primary,clear,0,43.62
secondary,clear,0,34.33
secondary,clear,0,35.44
primary,clear,1,28.77
residential,clear,0,25.65
secondary,heavy_rain,0,21.93
primary,clear,0,43.49
primary,clear,1,28.16
primary,clear,1,26.81
primary,clear,1,28.87
primary,clear,0,45.5
primary,light_rain,0,40.22
primary,clear,0,43.38
primary,heavy_rain,0,30.08
residential,clear,0,28.45
primary,clear,0,42.46
secondary,clear,0,34.05
secondary,clear,1,21.84
residential,moderate_rain,0,26.06
primary,heavy_rain,0,27.58
primary,light_rain,0,41.85
residential,clear,0,22.23
residential,clear,0,26.33
residential,clear,0,26.74
primary,flooded,0,22.87
primary,clear,0,40.79
secondary,light_rain,0,35.27
residential,clear,0,22.49
secondary,clear,0,35.09
secondary,clear,0,35.31
primary,clear,0,43.67
secondary,moderate_rain,1,23.77
primary,clear,0,43.19
primary,light_rain,0,39.47
secondary,clear,1,24.39
secondary,flooded,1,11.94
primary,clear,1,27.76
