order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
1,2,nearest,Off-Peak,Road Only,4.0132,2.0066,6019.85,0.2408,road
1,2,nearest,Off-Peak,Road + Metro,4.0132,2.0066,6019.85,0.2408,road
1,2,nearest,Off-Peak,Road + Waterbus,4.0132,2.0066,6019.85,0.2408,road
1,2,nearest,Off-Peak,Full Multimodal,4.0132,2.0066,6019.85,0.2408,road
1,2,nearest,Peak,Road Only,10.0331,2.0066,6019.85,0.2408,road
1,2,nearest,Peak,Road + Metro,10.0331,2.0066,6019.85,0.2408,road
1,2,nearest,Peak,Road + Waterbus,10.0331,2.0066,6019.85,0.2408,road
1,2,nearest,Peak,Full Multimodal,10.0331,2.0066,6019.85,0.2408,road
2,2,nearest,Off-Peak,Road Only,6.8751,3.4376,10312.68,0.4125,road
2,2,nearest,Off-Peak,Road + Metro,6.8751,3.4376,10312.68,0.4125,road
2,2,nearest,Off-Peak,Road + Waterbus,6.8751,3.4376,10312.68,0.4125,road
2,2,nearest,Off-Peak,Full Multimodal,6.8751,3.4376,10312.68,0.4125,road
2,2,nearest,Peak,Road Only,17.1878,3.4376,10312.68,0.4125,road
2,2,nearest,Peak,Road + Metro,17.1878,3.4376,10312.68,0.4125,road
2,2,nearest,Peak,Road + Waterbus,17.1878,3.4376,10312.68,0.4125,road
2,2,nearest,Peak,Full Multimodal,17.1878,3.4376,10312.68,0.4125,road
3,2,nearest,Off-Peak,Road Only,3.5256,1.7628,5288.47,0.2115,road
3,2,nearest,Off-Peak,Road + Metro,3.5256,1.7628,5288.47,0.2115,road
3,2,nearest,Off-Peak,Road + Waterbus,3.5256,1.7628,5288.47,0.2115,road
3,2,nearest,Off-Peak,Full Multimodal,3.5256,1.7628,5288.47,0.2115,road
3,2,nearest,Peak,Road Only,8.8141,1.7628,5288.47,0.2115,road
3,2,nearest,Peak,Road + Metro,8.8141,1.7628,5288.47,0.2115,road
3,2,nearest,Peak,Road + Waterbus,8.8141,1.7628,5288.47,0.2115,road
3,2,nearest,Peak,Full Multimodal,8.8141,1.7628,5288.47,0.2115,road
