hub_strategy,traffic_condition,scenario,avg_time_min,total_co2_kg,avg_cost_vnd,multimodal_used_cnt,time_improvement_pct,co2_improvement_pct,cost_improvement_pct
nearest,Off-Peak,Full Multimodal,3.05,32.0,4571.68,0,0.0,0.0,0.0
nearest,Off-Peak,Road + Metro,3.05,32.0,4571.68,0,0.0,0.0,0.0
nearest,Off-Peak,Road + Waterbus,3.05,32.0,4571.68,0,0.0,0.0,0.0
nearest,Off-Peak,Road Only,3.05,32.0,4571.68,0,0.0,0.0,0.0
nearest,Peak,Full Multimodal,7.62,32.0,4571.68,0,0.0,0.0,0.0
nearest,Peak,Road + Metro,7.62,32.0,4571.68,0,0.0,0.0,0.0
nearest,Peak,Road + Waterbus,7.62,32.0,4571.68,0,0.0,0.0,0.0
nearest,Peak,Road Only,7.62,32.0,4571.68,0,0.0,0.0,0.0
centralized,Off-Peak,Central Full Multimodal,4.99,87.48,7489.17,0,0.0,0.0,0.0
centralized,Off-Peak,Central Road + Metro,4.99,87.48,7489.17,0,0.0,0.0,0.0
centralized,Off-Peak,Central Road + Waterbus,4.99,87.48,7489.17,0,0.0,0.0,0.0
centralized,Off-Peak,Central Road Only,4.99,87.48,7489.17,0,0.0,0.0,0.0
centralized,Peak,Central Full Multimodal,11.3,64.67,11484.11,123,9.5,26.1,-53.3
centralized,Peak,Central Road + Metro,11.3,64.67,11484.11,123,9.5,26.1,-53.3
centralized,Peak,Central Road + Waterbus,12.48,87.48,7489.17,0,0.0,0.0,0.0
centralized,Peak,Central Road Only,12.48,87.48,7489.17,0,0.0,0.0,0.0
