order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
1,2,nearest,Off-Peak,Road Only,0.4857,0.2428,728.49,0.0291,road
1,2,nearest,Off-Peak,Road + Metro,0.4857,0.2428,728.49,0.0291,road
1,2,nearest,Off-Peak,Road + Waterbus,0.4857,0.2428,728.49,0.0291,road
1,2,nearest,Off-Peak,Full Multimodal,0.4857,0.2428,728.49,0.0291,road
1,2,nearest,Peak,Road Only,1.2141,0.2428,728.49,0.0291,road
1,2,nearest,Peak,Road + Metro,1.2141,0.2428,728.49,0.0291,road
1,2,nearest,Peak,Road + Waterbus,1.2141,0.2428,728.49,0.0291,road
1,2,nearest,Peak,Full Multimodal,1.2141,0.2428,728.49,0.0291,road
1,1,centralized,Off-Peak,Central Road Only,2.2065,1.1032,3309.7,0.1324,road
1,1,centralized,Off-Peak,Central Road + Metro,2.2065,1.1032,3309.7,0.1324,road
1,1,centralized,Off-Peak,Central Road + Waterbus,2.2065,1.1032,3309.7,0.1324,road
1,1,centralized,Off-Peak,Central Full Multimodal,2.2065,1.1032,3309.7,0.1324,road
1,1,centralized,Peak,Central Road Only,5.5162,1.1032,3309.7,0.1324,road
1,1,centralized,Peak,Central Road + Metro,5.5162,1.1032,3309.7,0.1324,road
1,1,centralized,Peak,Central Road + Waterbus,5.5162,1.1032,3309.7,0.1324,road
1,1,centralized,Peak,Central Full Multimodal,5.5162,1.1032,3309.7,0.1324,road
2,1,nearest,Off-Peak,Road Only,1.2609,0.6304,1891.33,0.0757,road
2,1,nearest,Off-Peak,Road + Metro,1.2609,0.6304,1891.33,0.0757,road
2,1,nearest,Off-Peak,Road + Waterbus,1.2609,0.6304,1891.33,0.0757,road
2,1,nearest,Off-Peak,Full Multimodal,1.2609,0.6304,1891.33,0.0757,road
2,1,nearest,Peak,Road Only,3.1522,0.6304,1891.33,0.0757,road
2,1,nearest,Peak,Road + Metro,3.1522,0.6304,1891.33,0.0757,road
2,1,nearest,Peak,Road + Waterbus,3.1522,0.6304,1891.33,0.0757,road
2,1,nearest,Peak,Full Multimodal,3.1522,0.6304,1891.33,0.0757,road
2,1,centralized,Off-Peak,Central Road Only,1.2609,0.6304,1891.33,0.0757,road
2,1,centralized,Off-Peak,Central Road + Metro,1.2609,0.6304,1891.33,0.0757,road
2,1,centralized,Off-Peak,Central Road + Waterbus,1.2609,0.6304,1891.33,0.0757,road
2,1,centralized,Off-Peak,Central Full Multimodal,1.2609,0.6304,1891.33,0.0757,road
2,1,centralized,Peak,Central Road Only,3.1522,0.6304,1891.33,0.0757,road
2,1,centralized,Peak,Central Road + Metro,3.1522,0.6304,1891.33,0.0757,road
2,1,centralized,Peak,Central Road + Waterbus,3.1522,0.6304,1891.33,0.0757,road
2,1,centralized,Peak,Central Full Multimodal,3.1522,0.6304,1891.33,0.0757,road
3,2,nearest,Off-Peak,Road Only,1.8192,0.9096,2728.75,0.1092,road
3,2,nearest,Off-Peak,Road + Metro,1.8192,0.9096,2728.75,0.1092,road
3,2,nearest,Off-Peak,Road + Waterbus,1.8192,0.9096,2728.75,0.1092,road
3,2,nearest,Off-Peak,Full Multimodal,1.8192,0.9096,2728.75,0.1092,road
3,2,nearest,Peak,Road Only,4.5479,0.9096,2728.75,0.1092,road
3,2,nearest,Peak,Road + Metro,4.5479,0.9096,2728.75,0.1092,road
3,2,nearest,Peak,Road + Waterbus,4.5479,0.9096,2728.75,0.1092,road
3,2,nearest,Peak,Full Multimodal,4.5479,0.9096,2728.75,0.1092,road
3,1,centralized,Off-Peak,Central Road Only,3.54,1.77,5309.97,0.2124,road
3,1,centralized,Off-Peak,Central Road + Metro,3.54,1.77,5309.97,0.2124,road
3,1,centralized,Off-Peak,Central Road + Waterbus,3.54,1.77,5309.97,0.2124,road
3,1,centralized,Off-Peak,Central Full Multimodal,3.54,1.77,5309.97,0.2124,road
3,1,centralized,Peak,Central Road Only,8.8499,1.77,5309.97,0.2124,road
3,1,centralized,Peak,Central Road + Metro,8.8499,1.77,5309.97,0.2124,road
3,1,centralized,Peak,Central Road + Waterbus,8.8499,1.77,5309.97,0.2124,road
3,1,centralized,Peak,Central Full Multimodal,8.8499,1.77,5309.97,0.2124,road
